Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Ajay Mitchell,OKC,POR,W,22.33,4,8,0.5,2,3,0.667,0,0,0.0,2,2,4,1.0,2,0,2,1,10,8.3,2024-11-20
Goga Bitadze,ORL,LAC,L,19.97,3,6,0.5,0,1,0.0,3,3,1.0,0,2,2,1.0,1,1,1,2,9,7.2,2024-11-20
Jonathan Isaac,ORL,LAC,L,21.88,2,5,0.4,2,4,0.5,0,0,0.0,1,2,3,0.0,0,3,1,0,6,5.7,2024-11-20
Moritz Wagner,ORL,LAC,L,17.0,4,10,0.4,1,3,0.333,1,1,1.0,0,1,1,0.0,1,0,2,0,10,3.9,2024-11-20
Kenrich Williams,OKC,POR,W,5.03,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,1,4,3.3,2024-11-20
Jett Howard,ORL,LAC,L,11.35,2,5,0.4,0,3,0.0,0,0,0.0,0,3,3,1.0,0,1,0,2,4,2.8,2024-11-20
Cason Wallace,OKC,POR,W,26.3,0,3,0.0,0,3,0.0,0,0,0.0,2,2,4,2.0,3,0,0,5,0,2.3,2024-11-20
Cole Anthony,ORL,LAC,L,3.2,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,1.0,0,0,1,0,3,2.0,2024-11-20
Aaron Wiggins,OKC,POR,W,14.98,2,6,0.333,1,4,0.25,0,0,0.0,2,0,2,0.0,0,0,1,1,5,1.6,2024-11-20
Gary Harris,ORL,LAC,L,15.12,1,4,0.25,0,3,0.0,0,0,0.0,0,0,0,0.0,2,0,0,1,2,1.2,2024-11-20
Cory Joseph,ORL,LAC,L,3.2,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0.0,0,0,0,0,0,0.6,2024-11-20
Dillon Jones,OKC,POR,W,10.87,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,2.0,0,0,0,0,0,0.3,2024-11-20
Adam Flagler,OKC,POR,W,1.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2024-11-20
Caleb Houstan,ORL,LAC,L,3.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2024-11-20
Ousmane Dieng,OKC,POR,W,10.9,0,1,0.0,0,1,0.0,0,2,0.0,0,1,1,0.0,2,0,1,0,0,-0.2,2024-11-20
Luguentz Dort,OKC,POR,W,29.82,0,7,0.0,0,6,0.0,2,2,1.0,1,4,5,2.0,0,1,0,4,2,-0.5,2024-11-20
Kentavious Caldwell-Pope,ORL,LAC,L,29.68,1,6,0.167,0,4,0.0,0,0,0.0,0,2,2,1.0,1,0,0,3,2,-0.7,2024-11-20
Franz Wagner,ORL,LAL,W,38.72,13,26,0.5,4,10,0.4,7,8,0.875,0,6,6,11.0,4,0,3,5,37,32.1,2024-11-21
Moritz Wagner,ORL,LAL,W,18.48,7,13,0.538,1,2,0.5,4,5,0.8,4,1,5,4.0,0,1,0,2,19,18.1,2024-11-21
Jalen Suggs,ORL,LAL,W,39.7,7,18,0.389,5,13,0.385,4,5,0.8,1,4,5,5.0,2,2,3,4,23,17.0,2024-11-21
Goga Bitadze,ORL,LAL,W,29.5,3,4,0.75,0,0,0.0,1,1,1.0,4,11,15,2.0,1,1,2,5,7,10.6,2024-11-21
Tristan Da Silva,ORL,LAL,W,31.95,4,8,0.5,2,3,0.667,2,2,1.0,1,3,4,1.0,0,0,2,2,12,7.5,2024-11-21
Gary Harris,ORL,LAL,W,25.97,4,7,0.571,3,6,0.5,0,0,0.0,1,0,1,1.0,0,0,1,2,11,7.3,2024-11-21
Jett Howard,ORL,LAL,W,10.73,1,1,1.0,0,0,0.0,0,0,0.0,2,0,2,2.0,0,0,1,1,2,3.1,2024-11-21
Anthony Black,ORL,LAL,W,22.2,2,8,0.25,0,3,0.0,0,0,0.0,1,3,4,5.0,1,0,2,1,4,2.9,2024-11-21
Jonathan Isaac,ORL,LAL,W,18.32,1,4,0.25,0,2,0.0,0,0,0.0,1,5,6,0.0,0,1,1,2,2,0.7,2024-11-21
Cole Anthony,ORL,LAL,W,4.37,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,1,1,2,-0.4,2024-11-21
Franz Wagner,ORL,DET,W,29.2,11,22,0.5,4,9,0.444,4,4,1.0,3,6,9,8.0,2,0,4,3,30,25.3,2024-11-23
Moritz Wagner,ORL,DET,W,27.72,7,11,0.636,1,4,0.25,3,4,0.75,4,3,7,5.0,1,0,1,2,18,19.1,2024-11-23
Jonathan Isaac,ORL,DET,W,22.62,1,6,0.167,0,2,0.0,3,4,0.75,3,9,12,0.0,2,3,0,1,5,9.3,2024-11-23
Gary Harris,ORL,DET,W,18.0,2,3,0.667,1,2,0.5,2,3,0.667,1,1,2,0.0,3,0,0,2,7,8.5,2024-11-23
Jett Howard,ORL,DET,W,15.0,4,8,0.5,2,5,0.4,0,0,0.0,3,1,4,0.0,0,0,0,1,10,8.0,2024-11-23
Anthony Black,ORL,DET,W,31.95,3,8,0.375,1,3,0.333,4,4,1.0,0,1,1,5.0,2,0,4,2,11,7.6,2024-11-23
Kentavious Caldwell-Pope,ORL,DET,W,24.4,3,6,0.5,1,4,0.25,1,1,1.0,0,0,0,2.0,1,2,1,1,8,7.4,2024-11-23
Goga Bitadze,ORL,DET,W,17.65,4,5,0.8,0,1,0.0,0,0,0.0,0,1,1,1.0,1,3,2,3,8,7.0,2024-11-23
Tristan Da Silva,ORL,DET,W,25.75,3,7,0.429,2,4,0.5,0,0,0.0,2,4,6,1.0,0,0,0,3,8,6.4,2024-11-23
Cory Joseph,ORL,DET,W,2.63,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1.0,1,0,0,0,0,1.7,2024-11-23
Jalen Suggs,ORL,DET,W,9.02,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,1.0,0,1,0,0,2,1.7,2024-11-23
Cole Anthony,ORL,DET,W,10.43,1,6,0.167,0,2,0.0,2,2,1.0,1,1,2,1.0,0,0,1,2,4,0.1,2024-11-23
Caleb Houstan,ORL,DET,W,5.6,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,-1.4,2024-11-23
Shai Gilgeous-Alexander,OKC,SAC,W,34.63,13,20,0.65,4,7,0.571,7,11,0.636,0,4,4,11.0,0,0,6,2,37,28.7,2024-11-25
Jalen Williams,OKC,SAC,W,32.1,10,16,0.625,3,7,0.429,5,5,1.0,0,4,4,5.0,2,1,5,3,28,22.0,2024-11-25
Franz Wagner,ORL,CHO,W,40.18,8,17,0.471,2,6,0.333,3,6,0.5,0,1,1,7.0,4,2,1,3,21,19.5,2024-11-25
Moritz Wagner,ORL,CHO,W,26.4,7,10,0.7,1,2,0.5,1,4,0.25,5,3,8,2.0,1,0,2,2,16,14.6,2024-11-25
Isaiah Hartenstein,OKC,SAC,W,31.5,8,14,0.571,0,0,0.0,1,1,1.0,3,7,10,4.0,0,0,1,5,17,14.4,2024-11-25
Kenrich Williams,OKC,SAC,W,14.97,2,2,1.0,2,2,1.0,4,4,1.0,1,4,5,4.0,0,0,0,1,10,13.7,2024-11-25
Cole Anthony,ORL,CHO,W,26.68,6,12,0.5,2,4,0.5,2,3,0.667,1,7,8,4.0,0,0,1,4,16,12.6,2024-11-25
Ajay Mitchell,OKC,SAC,W,17.78,6,8,0.75,1,1,1.0,2,2,1.0,0,0,0,1.0,0,0,0,1,15,12.1,2024-11-25
Goga Bitadze,ORL,CHO,W,21.6,3,6,0.5,0,0,0.0,0,0,0.0,2,2,4,2.0,1,1,1,1,6,6.7,2024-11-25
Jonathan Isaac,ORL,CHO,W,22.48,4,14,0.286,3,10,0.3,0,0,0.0,3,3,6,0.0,1,2,0,4,11,6.6,2024-11-25
Luguentz Dort,OKC,SAC,W,39.45,0,2,0.0,0,0,0.0,0,0,0.0,2,8,10,2.0,2,1,0,2,0,5.7,2024-11-25
Anthony Black,ORL,CHO,W,22.35,3,13,0.231,2,9,0.222,2,2,1.0,0,3,3,1.0,3,0,1,3,10,4.5,2024-11-25
Cason Wallace,OKC,SAC,W,14.55,2,4,0.5,0,1,0.0,0,0,0.0,1,0,1,0.0,1,1,0,0,4,4.4,2024-11-25
Aaron Wiggins,OKC,SAC,W,21.5,3,6,0.5,1,2,0.5,1,2,0.5,1,3,4,0.0,1,0,2,2,8,4.4,2024-11-25
Tristan Da Silva,ORL,CHO,W,21.13,4,13,0.308,1,8,0.125,0,0,0.0,1,2,3,1.0,1,0,0,1,9,4.1,2024-11-25
Branden Carlson,OKC,SAC,W,2.73,1,1,1.0,0,0,0.0,0,0,0.0,2,2,4,0.0,0,0,0,0,2,3.7,2024-11-25
Kentavious Caldwell-Pope,ORL,CHO,W,28.93,1,4,0.25,0,2,0.0,1,2,0.5,1,3,4,2.0,1,1,1,1,3,3.5,2024-11-25
Isaiah Joe,OKC,SAC,W,21.25,3,10,0.3,3,8,0.375,0,0,0.0,1,0,1,1.0,0,0,1,1,9,3.2,2024-11-25
Gary Harris,ORL,CHO,W,6.85,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0.0,0,0,1,1,3,1.3,2024-11-25
Adam Flagler,OKC,SAC,W,3.07,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,-1.1,2024-11-25
Dillon Jones,OKC,SAC,W,6.47,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,1,0,-1.1,2024-11-25
Jett Howard,ORL,CHO,W,23.38,0,4,0.0,0,4,0.0,0,0,0.0,0,2,2,2.0,0,0,0,1,0,-1.2,2024-11-25
Jalen Suggs,ORL,CHI,W,31.97,10,18,0.556,4,9,0.444,7,7,1.0,1,2,3,7.0,0,0,2,2,31,25.8,2024-11-27
Shai Gilgeous-Alexander,OKC,GSW,W,38.62,13,28,0.464,3,12,0.25,6,10,0.6,0,9,9,5.0,1,2,3,3,35,23.4,2024-11-27
Kentavious Caldwell-Pope,ORL,CHI,W,34.15,8,13,0.615,6,10,0.6,2,2,1.0,0,1,1,2.0,4,0,1,2,24,22.0,2024-11-27
Goga Bitadze,ORL,CHI,W,25.28,4,4,1.0,0,0,0.0,3,4,0.75,2,9,11,3.0,2,2,1,1,11,17.6,2024-11-27
Cason Wallace,OKC,GSW,W,32.52,4,5,0.8,1,2,0.5,0,0,0.0,3,1,4,6.0,2,3,0,1,9,17.4,2024-11-27
Jalen Williams,OKC,GSW,W,16.1,3,6,0.5,2,4,0.5,5,8,0.625,1,5,6,7.0,2,1,2,1,13,16.2,2024-11-27
Moritz Wagner,ORL,CHI,W,18.3,6,9,0.667,1,2,0.5,2,3,0.667,2,2,4,4.0,0,1,0,2,15,15.4,2024-11-27
Franz Wagner,ORL,CHI,W,31.05,7,20,0.35,1,6,0.167,6,6,1.0,1,2,3,6.0,2,1,3,3,21,13.8,2024-11-27
Isaiah Hartenstein,OKC,GSW,W,30.8,5,8,0.625,0,0,0.0,4,6,0.667,1,13,14,3.0,0,2,4,5,14,11.7,2024-11-27
Isaiah Joe,OKC,GSW,W,31.32,6,12,0.5,4,7,0.571,1,2,0.5,0,4,4,1.0,2,0,2,3,17,11.3,2024-11-27
Tristan Da Silva,ORL,CHI,W,19.48,3,5,0.6,2,3,0.667,0,0,0.0,0,3,3,1.0,0,0,0,0,8,7.3,2024-11-27
Jonathan Isaac,ORL,CHI,W,22.2,1,5,0.2,0,2,0.0,2,2,1.0,1,5,6,1.0,1,3,0,0,4,6.9,2024-11-27
Cole Anthony,ORL,CHI,W,11.08,3,6,0.5,1,3,0.333,2,2,1.0,0,1,1,1.0,0,0,1,2,9,5.2,2024-11-27
Wendell Carter,ORL,CHI,W,17.92,2,5,0.4,0,3,0.0,0,0,0.0,0,4,4,2.0,1,1,1,0,4,4.6,2024-11-27
Aaron Wiggins,OKC,GSW,W,14.47,3,5,0.6,1,2,0.5,0,0,0.0,0,1,1,0.0,0,0,1,0,7,4.0,2024-11-27
Anthony Black,ORL,CHI,W,15.3,2,4,0.5,0,0,0.0,0,0,0.0,0,3,3,3.0,0,0,1,2,4,3.2,2024-11-27
Dillon Jones,OKC,GSW,W,12.82,1,3,0.333,0,2,0.0,0,0,0.0,0,4,4,1.0,0,0,0,0,2,2.2,2024-11-27
Kenrich Williams,OKC,GSW,W,15.05,2,5,0.4,0,2,0.0,0,0,0.0,0,0,0,1.0,1,0,0,2,4,2.2,2024-11-27
Caleb Houstan,ORL,CHI,W,4.42,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0.0,0,0,0,0,2,2.0,2024-11-27
Luguentz Dort,OKC,GSW,W,31.87,1,5,0.2,0,3,0.0,0,0,0.0,2,3,5,2.0,1,1,1,4,2,1.7,2024-11-27
Jett Howard,ORL,CHI,W,4.42,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,-0.7,2024-11-27
Cory Joseph,ORL,CHI,W,4.42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,-1.0,2024-11-27
Ajay Mitchell,OKC,GSW,W,16.45,1,8,0.125,0,3,0.0,0,0,0.0,1,0,1,0.0,1,0,1,2,2,-3.3,2024-11-27
Shai Gilgeous-Alexander,OKC,LAL,W,36.98,13,28,0.464,3,10,0.3,7,8,0.875,3,3,6,9.0,2,1,3,3,36,29.0,2024-11-29
Franz Wagner,ORL,BRK,W,35.17,12,20,0.6,3,6,0.5,2,2,1.0,1,7,8,8.0,2,1,3,0,29,27.9,2024-11-29
Kentavious Caldwell-Pope,ORL,BRK,W,29.08,7,8,0.875,4,5,0.8,1,1,1.0,2,0,2,3.0,2,1,0,1,19,22.0,2024-11-29
Isaiah Hartenstein,OKC,LAL,W,36.87,4,7,0.571,0,0,0.0,3,4,0.75,3,15,18,5.0,1,1,2,2,11,16.3,2024-11-29
Wendell Carter,ORL,BRK,W,26.27,4,5,0.8,1,1,1.0,3,4,0.75,2,5,7,4.0,0,1,3,4,12,11.5,2024-11-29
Luguentz Dort,OKC,LAL,W,24.13,5,8,0.625,4,5,0.8,0,0,0.0,2,0,2,2.0,0,0,0,5,14,11.2,2024-11-29
Tristan Da Silva,ORL,BRK,W,19.68,5,9,0.556,3,4,0.75,0,1,0.0,0,1,1,1.0,2,0,0,1,13,10.9,2024-11-29
Goga Bitadze,ORL,BRK,W,26.85,2,6,0.333,0,0,0.0,4,4,1.0,3,3,6,3.0,1,5,2,5,8,10.2,2024-11-29
Jalen Williams,OKC,LAL,W,33.97,8,19,0.421,2,5,0.4,1,2,0.5,0,4,4,2.0,2,0,3,3,19,8.9,2024-11-29
Jonathan Isaac,ORL,BRK,W,19.17,2,6,0.333,1,3,0.333,3,4,0.75,0,4,4,0.0,2,1,0,1,8,7.7,2024-11-29
Jett Howard,ORL,BRK,W,16.22,3,6,0.5,2,4,0.5,0,0,0.0,2,0,2,0.0,1,0,0,0,8,7.4,2024-11-29
Jalen Suggs,ORL,BRK,W,26.58,5,12,0.417,2,6,0.333,0,0,0.0,0,3,3,6.0,1,1,3,6,12,7.0,2024-11-29
Cason Wallace,OKC,LAL,W,31.13,1,5,0.2,0,3,0.0,0,0,0.0,5,0,5,2.0,2,1,0,2,2,5.7,2024-11-29
Aaron Wiggins,OKC,LAL,W,18.35,3,9,0.333,1,4,0.25,0,0,0.0,1,6,7,0.0,1,0,0,0,7,5.4,2024-11-29
Kenrich Williams,OKC,LAL,W,12.0,2,5,0.4,1,3,0.333,0,0,0.0,1,4,5,0.0,1,0,0,1,5,4.8,2024-11-29
Cole Anthony,ORL,BRK,W,3.28,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1.0,1,0,0,0,3,4.4,2024-11-29
Cory Joseph,ORL,BRK,W,2.67,1,1,1.0,1,1,1.0,0,0,0.0,1,0,1,1.0,0,0,0,0,3,4.1,2024-11-29
Anthony Black,ORL,BRK,W,16.07,1,2,0.5,0,0,0.0,3,4,0.75,0,1,1,1.0,0,2,2,2,5,3.2,2024-11-29
Ajay Mitchell,OKC,LAL,W,17.95,1,3,0.333,1,3,0.333,1,2,0.5,0,0,0,0.0,1,0,0,1,4,2.5,2024-11-29
Moritz Wagner,ORL,BRK,W,16.3,1,4,0.25,0,1,0.0,1,2,0.5,0,5,5,1.0,1,1,3,1,3,0.7,2024-11-29
Branden Carlson,OKC,LAL,W,0.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2024-11-29
Dillon Jones,OKC,LAL,W,4.25,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,-0.7,2024-11-29
Isaiah Joe,OKC,LAL,W,24.03,1,8,0.125,1,7,0.143,0,0,0.0,0,0,0,0.0,2,0,1,0,3,-1.2,2024-11-29
Caleb Houstan,ORL,BRK,W,2.67,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,-3.1,2024-11-29
Shai Gilgeous-Alexander,OKC,HOU,L,36.12,10,19,0.526,3,7,0.429,9,11,0.818,2,6,8,5.0,2,0,2,2,32,27.8,2024-12-01
Isaiah Hartenstein,OKC,HOU,L,30.03,9,12,0.75,0,1,0.0,1,3,0.333,2,11,13,4.0,1,1,1,5,19,19.6,2024-12-01
Goga Bitadze,ORL,BRK,W,31.8,4,6,0.667,0,0,0.0,4,6,0.667,4,9,13,2.0,3,2,1,4,12,17.3,2024-12-01
Jalen Williams,OKC,HOU,L,37.43,7,21,0.333,2,7,0.286,6,7,0.857,0,5,5,7.0,1,1,1,3,22,15.6,2024-12-01
Wendell Carter,ORL,BRK,W,27.6,5,5,1.0,1,1,1.0,3,4,0.75,3,4,7,1.0,1,2,3,4,14,13.9,2024-12-01
Franz Wagner,ORL,BRK,W,37.97,4,17,0.235,0,6,0.0,12,14,0.857,1,8,9,8.0,0,2,4,3,20,13.8,2024-12-01
Kentavious Caldwell-Pope,ORL,BRK,W,34.18,6,11,0.545,4,9,0.444,0,0,0.0,0,1,1,0.0,2,1,0,2,16,12.9,2024-12-01
Cason Wallace,OKC,HOU,L,35.65,5,11,0.455,3,6,0.5,1,2,0.5,5,4,9,2.0,0,0,0,4,14,12.4,2024-12-01
Moritz Wagner,ORL,BRK,W,16.2,5,9,0.556,0,1,0.0,2,2,1.0,4,4,8,2.0,1,2,2,3,12,12.3,2024-12-01
Aaron Wiggins,OKC,HOU,L,27.25,6,12,0.5,1,4,0.25,0,0,0.0,0,3,3,3.0,0,0,0,0,13,10.0,2024-12-01
Luguentz Dort,OKC,HOU,L,26.9,2,6,0.333,2,5,0.4,0,0,0.0,1,2,3,6.0,1,2,0,6,6,8.1,2024-12-01
Jalen Suggs,ORL,BRK,W,27.18,4,11,0.364,1,3,0.333,3,3,1.0,1,2,3,5.0,2,0,5,6,12,5.3,2024-12-01
Dillon Jones,OKC,HOU,L,10.77,1,3,0.333,1,3,0.333,2,2,1.0,0,2,2,1.0,0,0,0,0,5,4.6,2024-12-01
Anthony Black,ORL,BRK,W,20.0,2,2,1.0,0,0,0.0,1,3,0.333,0,4,4,1.0,0,1,2,1,5,3.8,2024-12-01
Tristan Da Silva,ORL,BRK,W,22.75,2,7,0.286,0,5,0.0,0,0,0.0,0,4,4,3.0,1,0,2,0,4,2.2,2024-12-01
Kenrich Williams,OKC,HOU,L,15.37,2,5,0.4,1,4,0.25,0,0,0.0,0,2,2,0.0,0,0,0,3,5,1.7,2024-12-01
Cole Anthony,ORL,BRK,W,4.98,1,4,0.25,1,2,0.5,0,0,0.0,1,1,2,1.0,0,0,1,0,3,1.3,2024-12-01
Jonathan Isaac,ORL,BRK,W,7.55,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0.0,0,1,2,4,2,-0.9,2024-12-01
Jett Howard,ORL,BRK,W,9.78,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,2,0,-1.5,2024-12-01
Isaiah Joe,OKC,HOU,L,13.25,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2.0,0,0,2,2,0,-2.1,2024-12-01
Ajay Mitchell,OKC,HOU,L,7.23,0,4,0.0,0,1,0.0,0,0,0.0,1,0,1,0.0,0,0,1,1,0,-3.5,2024-12-01
Jalen Williams,OKC,UTA,W,27.62,12,18,0.667,1,4,0.25,3,4,0.75,1,1,2,5.0,3,0,0,1,28,26.9,2024-12-03
Shai Gilgeous-Alexander,OKC,UTA,W,30.12,11,19,0.579,2,6,0.333,2,2,1.0,1,5,6,7.0,3,0,0,4,26,25.6,2024-12-03
Franz Wagner,ORL,NYK,L,38.9,10,22,0.455,1,5,0.2,9,9,1.0,0,3,3,6.0,3,0,3,1,30,23.3,2024-12-03
Moritz Wagner,ORL,NYK,L,28.45,7,13,0.538,1,2,0.5,5,9,0.556,4,8,12,1.0,2,1,1,3,20,18.5,2024-12-03
Isaiah Joe,OKC,UTA,W,21.78,7,11,0.636,5,9,0.556,0,0,0.0,0,2,2,4.0,1,0,0,1,19,18.1,2024-12-03
Aaron Wiggins,OKC,UTA,W,22.07,6,11,0.545,2,5,0.4,2,2,1.0,2,2,4,1.0,3,1,3,2,16,13.3,2024-12-03
Cason Wallace,OKC,UTA,W,28.52,5,9,0.556,1,2,0.5,1,1,1.0,0,0,0,4.0,3,0,0,4,12,11.9,2024-12-03
Jalen Suggs,ORL,NYK,L,39.43,5,16,0.313,0,8,0.0,4,4,1.0,0,3,3,3.0,2,1,1,1,14,9.1,2024-12-03
Dillon Jones,OKC,UTA,W,15.68,3,5,0.6,2,3,0.667,0,0,0.0,3,1,4,2.0,1,0,1,2,8,8.7,2024-12-03
Cole Anthony,ORL,NYK,L,13.1,3,5,0.6,1,2,0.5,3,3,1.0,0,3,3,3.0,0,0,2,4,10,7.1,2024-12-03
Kenrich Williams,OKC,UTA,W,12.95,2,4,0.5,1,2,0.5,0,0,0.0,4,1,5,1.0,0,0,0,1,5,6.4,2024-12-03
Isaiah Hartenstein,OKC,UTA,W,22.22,2,7,0.286,0,1,0.0,0,0,0.0,2,3,5,6.0,2,1,2,3,4,5.9,2024-12-03
Wendell Carter,ORL,NYK,L,19.55,1,3,0.333,0,2,0.0,0,0,0.0,2,5,7,3.0,1,0,0,2,2,5.5,2024-12-03
Tristan Da Silva,ORL,NYK,L,22.32,3,5,0.6,2,3,0.667,0,0,0.0,0,2,2,0.0,0,0,1,0,8,5.3,2024-12-03
Ajay Mitchell,OKC,UTA,W,16.97,2,3,0.667,1,2,0.5,0,0,0.0,1,1,2,1.0,1,0,1,4,5,3.8,2024-12-03
Caleb Houstan,ORL,NYK,L,7.22,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0.0,0,1,0,0,3,2.7,2024-12-03
Kentavious Caldwell-Pope,ORL,NYK,L,26.62,3,7,0.429,3,7,0.429,0,0,0.0,0,3,3,0.0,0,0,2,4,9,2.6,2024-12-03
Jonathan Isaac,ORL,NYK,L,12.65,2,4,0.5,0,2,0.0,0,0,0.0,1,0,1,0.0,0,1,0,2,4,2.6,2024-12-03
Luguentz Dort,OKC,UTA,W,30.12,2,6,0.333,1,5,0.2,0,0,0.0,1,1,2,1.0,0,0,1,0,5,2.3,2024-12-03
Anthony Black,ORL,NYK,L,20.32,3,4,0.75,0,1,0.0,0,0,0.0,0,1,1,3.0,0,0,4,2,6,2.0,2024-12-03
Adam Flagler,OKC,UTA,W,4.47,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,0.0,0,0,0,0,3,0.6,2024-12-03
Branden Carlson,OKC,UTA,W,7.5,0,5,0.0,0,4,0.0,2,2,1.0,0,2,2,0.0,1,1,0,1,2,0.4,2024-12-03
Jett Howard,ORL,NYK,L,11.45,0,6,0.0,0,5,0.0,0,0,0.0,2,1,3,1.0,1,0,1,0,0,-1.8,2024-12-03
Franz Wagner,ORL,PHI,W,36.28,12,23,0.522,1,6,0.167,10,10,1.0,2,5,7,2.0,0,1,4,3,35,23.5,2024-12-04
Jonathan Isaac,ORL,PHI,W,14.87,6,8,0.75,2,3,0.667,0,0,0.0,4,0,4,0.0,2,2,0,0,14,17.0,2024-12-04
Jalen Suggs,ORL,PHI,W,37.1,6,15,0.4,4,8,0.5,1,2,0.5,1,1,2,6.0,3,0,4,1,17,12.3,2024-12-04
Anthony Black,ORL,PHI,W,29.87,5,10,0.5,0,2,0.0,0,0,0.0,2,3,5,7.0,0,0,2,1,10,9.8,2024-12-04
Goga Bitadze,ORL,PHI,W,20.92,3,4,0.75,0,0,0.0,0,0,0.0,2,4,6,1.0,1,1,0,2,6,8.6,2024-12-04
Moritz Wagner,ORL,PHI,W,21.05,4,10,0.4,0,3,0.0,2,3,0.667,0,6,6,1.0,2,2,2,1,10,7.7,2024-12-04
Kentavious Caldwell-Pope,ORL,PHI,W,32.03,2,7,0.286,1,5,0.2,2,2,1.0,0,2,2,1.0,5,0,1,4,7,6.6,2024-12-04
Tristan Da Silva,ORL,PHI,W,16.1,2,3,0.667,0,1,0.0,1,2,0.5,2,2,4,1.0,0,0,0,0,5,6.0,2024-12-04
Wendell Carter,ORL,PHI,W,31.78,1,4,0.25,0,1,0.0,0,2,0.0,3,3,6,2.0,0,1,0,6,2,1.5,2024-12-04
Shai Gilgeous-Alexander,OKC,TOR,W,29.63,11,22,0.5,1,10,0.1,7,8,0.875,0,4,4,5.0,2,2,2,2,30,23.9,2024-12-05
Jalen Williams,OKC,TOR,W,28.37,6,13,0.462,2,4,0.5,6,6,1.0,0,7,7,2.0,0,0,0,1,20,16.4,2024-12-05
Kenrich Williams,OKC,TOR,W,13.83,5,6,0.833,3,3,1.0,0,0,0.0,4,3,7,1.0,1,0,0,0,13,16.2,2024-12-05
Isaiah Joe,OKC,TOR,W,20.63,6,10,0.6,4,6,0.667,0,0,0.0,1,3,4,2.0,0,1,0,1,16,14.7,2024-12-05
Ajay Mitchell,OKC,TOR,W,18.88,6,9,0.667,1,1,1.0,0,0,0.0,0,0,0,3.0,2,0,0,4,13,11.6,2024-12-05
Cason Wallace,OKC,TOR,W,22.9,3,7,0.429,2,5,0.4,1,1,1.0,1,0,1,2.0,3,3,2,0,9,10.5,2024-12-05
Isaiah Hartenstein,OKC,TOR,W,27.85,1,3,0.333,0,1,0.0,0,2,0.0,3,13,16,6.0,1,1,0,3,2,10.2,2024-12-05
Aaron Wiggins,OKC,TOR,W,20.48,5,11,0.455,2,6,0.333,0,0,0.0,0,3,3,2.0,2,0,1,0,12,9.6,2024-12-05
Alex Caruso,OKC,TOR,W,17.43,3,7,0.429,2,3,0.667,0,0,0.0,0,4,4,2.0,2,1,1,1,8,8.2,2024-12-05
Luguentz Dort,OKC,TOR,W,27.92,3,12,0.25,0,6,0.0,0,0,0.0,2,4,6,1.0,2,3,0,4,6,4.6,2024-12-05
Branden Carlson,OKC,TOR,W,6.28,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,2.0,0,0,0,0,0,1.7,2024-12-05
Adam Flagler,OKC,TOR,W,5.78,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0.0,2024-12-05
Franz Wagner,ORL,PHI,L,38.27,10,23,0.435,3,12,0.25,7,7,1.0,0,5,5,5.0,1,1,4,2,30,19.8,2024-12-06
Jalen Suggs,ORL,PHI,L,32.68,8,19,0.421,4,12,0.333,2,2,1.0,0,1,1,3.0,3,0,3,4,22,12.7,2024-12-06
Moritz Wagner,ORL,PHI,L,17.7,5,7,0.714,2,3,0.667,0,0,0.0,2,7,9,2.0,0,0,2,1,12,11.6,2024-12-06
