Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Franz Wagner,ORL,CHI,L,22.58,3,8,0.375,0,3,0.0,1,1,1.0,1,2,3,4.0,1,1,0,2,7,7.6,2024-10-30
Franz Wagner,ORL,CLE,L,30.07,8,19,0.421,0,2,0.0,1,3,0.333,2,6,8,6.0,1,0,4,3,17,9.3,2024-11-01
Franz Wagner,ORL,DAL,L,25.18,6,15,0.4,1,2,0.5,0,0,0.0,1,5,6,6.0,2,0,2,3,13,10.1,2024-11-03
Franz Wagner,ORL,OKC,L,34.15,8,17,0.471,1,4,0.25,5,6,0.833,2,2,4,2.0,2,0,5,2,22,12.5,2024-11-04
Franz Wagner,ORL,IND,L,39.37,10,23,0.435,2,7,0.286,6,8,0.75,1,7,8,6.0,0,0,3,4,28,17.5,2024-11-06
Franz Wagner,ORL,NOP,W,32.43,9,18,0.5,2,5,0.4,7,8,0.875,2,3,5,6.0,2,0,2,2,27,23.3,2024-11-08
Franz Wagner,ORL,WAS,W,28.65,9,20,0.45,1,5,0.2,4,4,1.0,0,4,4,7.0,1,0,0,0,23,19.7,2024-11-10
Franz Wagner,ORL,CHO,W,31.97,14,25,0.56,2,9,0.222,2,3,0.667,1,7,8,5.0,3,0,2,2,32,26.2,2024-11-12
Franz Wagner,ORL,IND,W,36.77,9,24,0.375,3,8,0.375,8,9,0.889,0,3,3,6.0,1,1,1,0,29,21.2,2024-11-13
Franz Wagner,ORL,PHI,W,40.72,10,23,0.435,5,11,0.455,6,6,1.0,1,10,11,6.0,2,1,0,4,31,27.9,2024-11-15
Franz Wagner,ORL,PHO,W,39.2,12,24,0.5,4,8,0.5,4,5,0.8,0,5,5,8.0,0,0,1,2,32,24.9,2024-11-18
Franz Wagner,ORL,LAC,L,34.9,5,11,0.455,0,4,0.0,4,4,1.0,0,6,6,6.0,4,0,3,3,14,14.1,2024-11-20
Franz Wagner,ORL,LAL,W,38.72,13,26,0.5,4,10,0.4,7,8,0.875,0,6,6,11.0,4,0,3,5,37,32.1,2024-11-21
Franz Wagner,ORL,DET,W,29.2,11,22,0.5,4,9,0.444,4,4,1.0,3,6,9,8.0,2,0,4,3,30,25.3,2024-11-23
Franz Wagner,ORL,CHO,W,40.18,8,17,0.471,2,6,0.333,3,6,0.5,0,1,1,7.0,4,2,1,3,21,19.5,2024-11-25
Franz Wagner,ORL,CHI,W,31.05,7,20,0.35,1,6,0.167,6,6,1.0,1,2,3,6.0,2,1,3,3,21,13.8,2024-11-27
Franz Wagner,ORL,BRK,W,35.17,12,20,0.6,3,6,0.5,2,2,1.0,1,7,8,8.0,2,1,3,0,29,27.9,2024-11-29
Franz Wagner,ORL,BRK,W,37.97,4,17,0.235,0,6,0.0,12,14,0.857,1,8,9,8.0,0,2,4,3,20,13.8,2024-12-01
Franz Wagner,ORL,NYK,L,38.9,10,22,0.455,1,5,0.2,9,9,1.0,0,3,3,6.0,3,0,3,1,30,23.3,2024-12-03
Franz Wagner,ORL,PHI,W,36.28,12,23,0.522,1,6,0.167,10,10,1.0,2,5,7,2.0,0,1,4,3,35,23.5,2024-12-04
Franz Wagner,ORL,PHI,L,38.27,10,23,0.435,3,12,0.25,7,7,1.0,0,5,5,5.0,1,1,4,2,30,19.8,2024-12-06
Franz Wagner,ORL,POR,L,24.45,9,19,0.474,0,3,0.0,2,3,0.667,0,4,4,0.0,0,1,4,4,20,6.2,2025-01-23
Franz Wagner,ORL,DET,W,30.17,10,22,0.455,4,8,0.5,8,8,1.0,1,3,4,7.0,0,0,1,1,32,25.7,2025-01-25
Franz Wagner,ORL,MIA,L,39.83,10,25,0.4,2,10,0.2,7,10,0.7,0,8,8,3.0,0,0,3,2,29,15.0,2025-01-27
Franz Wagner,ORL,POR,L,31.45,8,17,0.471,1,5,0.2,7,8,0.875,2,1,3,3.0,0,0,1,4,24,16.1,2025-01-30
Franz Wagner,ORL,UTA,L,33.9,8,21,0.381,3,11,0.273,18,20,0.9,1,5,6,1.0,1,1,1,3,37,27.1,2025-02-01
Franz Wagner,ORL,GSW,L,36.78,9,19,0.474,1,5,0.2,2,3,0.667,1,2,3,5.0,2,0,2,6,21,13.3,2025-02-03
Franz Wagner,ORL,SAC,W,26.78,12,22,0.545,5,6,0.833,2,2,1.0,1,4,5,3.0,0,0,0,1,31,24.0,2025-02-05
Franz Wagner,ORL,DEN,L,29.52,6,17,0.353,0,3,0.0,2,2,1.0,2,2,4,4.0,2,1,1,2,14,10.2,2025-02-06
